position,person,personID,start,end,gender,DOB,DOD,image,enwiki
President,Omar Bongo,Q172083,1967-12-02,2009-06-09,male,1935-12-30,2009-06-08,Omar Bongo cropped.jpg,Omar Bongo
President,Didjob Divungi Di Ndinge,Q2662541,2009-06-08,2009-06-10,male,1946-05-05,,,Didjob Divungi Di Ndinge
President,Rose Francine Rogombe,Q270645,2009-06-10,2009-10-16,female,1942-09-20,2015-04-10,,Rose Francine Rogombé
President,Ali Bongo Ondimba,Q57521,2009-10-16,,male,1959-02-09,,Ali Bongo Ondimba.png,Ali Bongo Ondimba
Vice President,Didjob Divungi Di Ndinge,Q2662541,1997-05,2009-10,male,1946-05-05,,,Didjob Divungi Di Ndinge
Vice President,Pierre Claver Maganga Moussavou,Q3384461,2017-08-21,2019-05-21,male,1952-04-08,,,Pierre Claver Maganga Moussavou
Prime Minister,Raymond Ndong Sima,Q57856,2012-02-27,2014-01-27,male,1955-01-23,,,Raymond Ndong Sima
Prime Minister,Daniel Ona Ondo,Q3014508,2014-01-27,2016-09-29,male,1945-07-10,,,Daniel Ona Ondo
Prime Minister,Emmanuel Issoze-Ngondet,Q5373253,2016-09-28,2019-01-12,male,1961-04-02,2020-06-11,,Emmanuel Issoze-Ngondet
Prime Minister,Julien Nkoghe Békale,Q60594089,2019-01-12,2020-07-16,male,1958-08-23,,Julien Nkoghe Bekalé - 2019 (cropped).jpg,Julien Nkoghe Bekale
Prime Minister,Rose Christiane Raponda,Q65556229,2020-07-16,,female,1964,,Rose Raponda 2015.png,Rose Christiane Raponda
Minister of Finance and Economy,Emile Doumba,Q5371552,1999,2002,male,1944-10-29,,,Emile Doumba
Minister of Finance and Economy,Paul Toungui,Q58208,2002,2008,male,1950-09-07,,"Paul Toungui, IMF 116SJ0504150090lg.jpg",Paul Toungui
Minister of Finance and Economy,Blaise Louembe,Q4924282,2008,2012,male,1960-02-20,,Blaise Louembe (cropped).jpg,Blaise Louembe
Minister of Finance and Economy,Rose Christiane Raponda,Q65556229,2012,2014,female,1964,,Rose Raponda 2015.png,Rose Christiane Raponda
Minister of Finance and Economy,Christian Magnagna,Q106958800,2014,2016,male,,,,
Minister of Finance and Economy,Mathias Otounga Ossibadjouo,Q26308938,2016,2017,male,1960-02-22,,Mathias Otounga Ossibadjouo - 2016 (cropped).jpg,
Minister of Finance and Economy,Jean-Fidèle Otandault,Q56306715,2017,2019,male,1965-11,,,
Minister of Finance and Economy,Roger Owono Mba,Q106958151,2019,2019-12,male,,,,
Minister of Finance and Economy,Jean-Marie Ogandaga,Q106958062,2019-12,,male,,,,
Minister for Foreign Affairs,Jean Ping,Q58286,1999,2008,male,1942-11-24,,Jean Ping 080202-F-1644L-081 0YWDF.jpg,Jean Ping
Minister for Foreign Affairs,Laure Olga Gondjout,Q3218781,2008,2008,female,1953-12-18,,Laure Olga Gondjout at Women in ICTs - 8093109382.jpg,Laure Olga Gondjout
Minister for Foreign Affairs,Paul Toungui,Q58208,2008-10-07,2012-02-28,male,1950-09-07,,"Paul Toungui, IMF 116SJ0504150090lg.jpg",Paul Toungui
Minister for Foreign Affairs,Emmanuel Issoze-Ngondet,Q5373253,2012-02-28,2016-09-28,male,1961-04-02,2020-06-11,,Emmanuel Issoze-Ngondet
Minister for Foreign Affairs,Pacome Moubelet Boubeya,Q26924447,2016-09-28,2017,male,1963-03-12,,Pacôme Moubelet-Boubeya (cropped).jpg,Pacôme Moubelet-Boubeya
Minister for Foreign Affairs,Noël Nelson Messone,Q55096171,2017,2018,male,1960,,,
Minister for Foreign Affairs,Régis Immongault,Q53535963,2018,2019,male,,,,
Minister for Foreign Affairs,Abdu Razzaq Guy Kambogo,Q65769832,2019,2019,male,1974-09-06,,,
Minister for Foreign Affairs,Alain Claude Bilie-By-Nze,Q98841301,2019,2020-07-23,male,,,Alain Claude Bilie-By-Nze (cropped).jpg,
Minister for Foreign Affairs,Pacome Moubelet Boubeya,Q26924447,2020-07-23,,male,1963-03-12,,Pacôme Moubelet-Boubeya (cropped).jpg,Pacôme Moubelet-Boubeya
Minister of Justice,Anicette Nang Ovika,Q63412523,2009-10-17,2011-01,female,,,,
Minister of Justice,Ida Reteno Assonouet,Q63412796,2011-01,2014-01,female,,,,Ida Reteno Assonouet
Minister of Justice,Séraphin Moundounga,Q26856921,2014-01-28,2016-09-05,male,1964-02-29,,Séraphin Moundounga - June 2015 (cropped).jpg,Séraphin Moundounga
Minister of Justice,Denise Mekamne,Q63412824,2016-09,,female,,,,
Speaker of the National Assembly,Guy Nzouba-Ndama,Q3122048,1997-01,2016-04-08,male,1946-07-17,,,Guy Nzouba-Ndama
Speaker of the National Assembly,Richard Auguste Onouviet,Q3430482,2016-04-08,2018-04-30,male,1949-06-14,,,Richard Auguste Onouviet
Speaker of the National Assembly,Faustin Boukoubi,Q2655471,2019-01-11,,male,1954-03-20,,,Faustin Boukoubi
