item,itemLabel,startDate,endDate
Q2847914,André Gustave Anguilé,1960,1961
Q256998,Jean-Hilaire Aubame,1961,1963
Q6170684,Jean François Ondo,1963,
Q6285804,Joseph Ngoua,1963,1964
,Jean-Marc Ekoh,1964,
Q299629,Léon M'ba,1964,
Q16079023,Pierre Auguste Avaro,1964,1965
Q6170631,Jean Engone,1965,1967
Q6171114,Jean Marie M'ba,1967,
Q4315318,Benjamin Ngoubou,1967,1968
Q7152177,Paul Malékou,1968,
Q6171473,Jean Rémy Ayouné,1968,1971
Q922877,Georges Rawiri,1971,1974
Q7152821,Paul Okoumba d'Okwatsegue,1974,1976
Q6775027,Martin Bongo,1976,1989
Q57521,Ali Bongo Ondimba,1989,1991
Q3367723,Pascaline Bongo Ondimba,1991,1994
Q58286,Jean Ping,1994,
Q127219,Casimir Oyé-Mba,1994,1999
Q58286,Jean Ping,1999,2008
Q3218781,Laure Olga Gondjout,2008,
Q58208,Paul Toungui,2008,2012
Q5373253,Emmanuel Issoze-Ngondet,2012,2016
Q26924447,Pacôme Moubelet-Boubeya,2016,2017
,Noël Nelson Messone,2017,2018
,Régis Immongault Tatangani,2018,2019
,Abdu Razzaq Guy Kambogo,2019,
,Alain Claude Bilie-By-Nze,2019,2020
Q26924447,Pacôme Moubelet-Boubeya,2020,2022
,Michael Moussa Adamo,2022,
